Candidate ID,Interview Score,Reference Check,Communication Skill Level,Cultural Fit,Preferred Work Environment,Date of Interview,Date of Decision,Hired
2754,8,Neutral,Average,Neutral,Hybrid,8/17/2023,9/7/2023,No
2755,8,Positive,Average,Strong Mismatch,In-Office,4/20/2023,5/10/2023,No
2756,10,Positive,Below Average,Strong Fit,In-Office,8/16/2023,9/1/2023,No
2757,1,Neutral,Average,Strong Fit,Fully Remote,4/19/2023,5/9/2023,No
2758,7,Positive,Average,Fit,Field Work,2/1/2023,2/19/2023,No
2759,2,Neutral,Average,Strong Fit,Hybrid,1/5/2023,1/21/2023,No
2760,4,Neutral,Excellent,Strong Fit,Fully Remote,7/19/2023,8/6/2023,No
2761,10,Negative,Excellent,Strong Mismatch,Hybrid,8/3/2023,8/22/2023,Yes
2762,3,Negative,Below Average,Slight Mismatch,Fully Remote,5/25/2023,6/16/2023,No
2763,7,Neutral,Excellent,Strong Mismatch,Field Work,8/17/2023,9/3/2023,No
2764,3,Negative,Good,Fit,Flexible,3/30/2023,4/19/2023,No
2765,6,Positive,Good,Slight Mismatch,Flexible,8/10/2023,8/28/2023,No
2766,2,Positive,Excellent,Strong Fit,Flexible,7/26/2023,8/15/2023,No
2767,2,Negative,Excellent,Strong Fit,Fully Remote,8/9/2023,8/24/2023,No
2768,2,Positive,Excellent,Fit,Hybrid,6/7/2023,6/28/2023,No
2769,8,Neutral,Excellent,Fit,Field Work,5/3/2023,5/22/2023,Yes
2770,2,Negative,Average,Neutral,Flexible,4/13/2023,5/2/2023,No
2771,2,Negative,Poor,Strong Fit,Field Work,4/13/2023,5/3/2023,No
2772,1,Neutral,Below Average,Strong Mismatch,Field Work,5/3/2023,5/20/2023,No
2773,2,Negative,Excellent,Strong Fit,Flexible,7/6/2023,7/27/2023,No
2774,10,Neutral,Good,Strong Mismatch,Field Work,6/8/2023,6/25/2023,Yes
2775,2,Neutral,Poor,Slight Mismatch,Flexible,6/21/2023,7/13/2023,No
2776,4,Negative,Average,Slight Mismatch,Fully Remote,4/19/2023,5/5/2023,No
2777,10,Negative,Good,Fit,Flexible,4/13/2023,4/29/2023,No
2778,2,Positive,Below Average,Strong Fit,Flexible,4/6/2023,4/27/2023,No
2779,10,Neutral,Below Average,Strong Mismatch,Field Work,7/5/2023,7/27/2023,No
2780,4,Positive,Average,Strong Mismatch,Flexible,3/16/2023,4/6/2023,No
2781,3,Negative,Below Average,Slight Mismatch,Flexible,7/12/2023,7/27/2023,No
2782,6,Neutral,Average,Strong Mismatch,In-Office,3/15/2023,4/6/2023,No
2783,4,Negative,Excellent,Neutral,Field Work,4/12/2023,5/4/2023,No
2784,1,Neutral,Poor,Slight Mismatch,In-Office,4/20/2023,5/10/2023,No
2785,9,Negative,Average,Fit,Field Work,8/24/2023,9/9/2023,No
2786,10,Neutral,Good,Strong Mismatch,Flexible,8/3/2023,8/22/2023,No
2787,1,Negative,Average,Fit,Fully Remote,8/23/2023,9/10/2023,No
2788,4,Negative,Excellent,Fit,Fully Remote,2/16/2023,3/6/2023,No
2789,5,Positive,Average,Slight Mismatch,Flexible,7/6/2023,7/27/2023,No
2790,7,Neutral,Good,Strong Fit,Flexible,2/16/2023,3/9/2023,No
2791,1,Positive,Excellent,Strong Fit,Flexible,3/2/2023,3/24/2023,No
2792,8,Positive,Excellent,Strong Fit,In-Office,6/29/2023,7/21/2023,No
2793,4,Neutral,Average,Neutral,Hybrid,2/2/2023,2/19/2023,No
2794,3,Neutral,Excellent,Neutral,Field Work,4/13/2023,5/3/2023,No
2795,5,Negative,Good,Neutral,Flexible,2/15/2023,3/4/2023,No
2796,3,Negative,Poor,Strong Mismatch,In-Office,6/1/2023,6/22/2023,No
2797,3,Negative,Average,Strong Fit,In-Office,3/30/2023,4/15/2023,No
2798,9,Neutral,Good,Strong Mismatch,Flexible,3/23/2023,4/13/2023,Yes
2799,6,Neutral,Below Average,Fit,Fully Remote,5/24/2023,6/9/2023,No
2800,7,Neutral,Excellent,Neutral,Fully Remote,4/20/2023,5/5/2023,No
2801,8,Positive,Poor,Fit,Hybrid,4/5/2023,4/21/2023,Yes
2802,4,Neutral,Below Average,Strong Fit,Hybrid,2/2/2023,2/18/2023,No
2803,2,Negative,Below Average,Strong Mismatch,Field Work,2/2/2023,2/18/2023,No
2804,6,Positive,Average,Slight Mismatch,Field Work,1/5/2023,1/26/2023,No
2805,4,Positive,Poor,Fit,In-Office,8/31/2023,9/17/2023,No
2806,1,Positive,Good,Strong Mismatch,Field Work,7/19/2023,8/3/2023,No
2807,2,Positive,Poor,Neutral,Flexible,8/17/2023,9/8/2023,No
2808,9,Neutral,Good,Neutral,Flexible,6/7/2023,6/27/2023,Yes
2809,6,Negative,Poor,Strong Fit,Field Work,3/2/2023,3/22/2023,No
2810,3,Neutral,Excellent,Slight Mismatch,Flexible,1/25/2023,2/11/2023,No
2811,1,Negative,Excellent,Neutral,Field Work,2/16/2023,3/10/2023,No
2812,4,Neutral,Good,Strong Fit,Fully Remote,7/13/2023,8/1/2023,No
2813,8,Negative,Good,Slight Mismatch,In-Office,6/22/2023,7/7/2023,No
2814,8,Neutral,Average,Neutral,Fully Remote,4/27/2023,5/19/2023,No
2815,4,Neutral,Excellent,Neutral,Fully Remote,6/15/2023,7/1/2023,No
2816,1,Negative,Good,Strong Mismatch,Field Work,8/3/2023,8/18/2023,No
2817,9,Negative,Excellent,Strong Mismatch,Field Work,3/23/2023,4/13/2023,Yes
2818,10,Negative,Below Average,Neutral,Fully Remote,5/24/2023,6/9/2023,No
2819,3,Neutral,Excellent,Strong Mismatch,Fully Remote,1/4/2023,1/19/2023,No
2820,2,Negative,Average,Fit,In-Office,8/10/2023,8/25/2023,No
2821,8,Neutral,Good,Strong Fit,Flexible,4/27/2023,5/12/2023,Yes
2822,4,Neutral,Below Average,Fit,In-Office,8/2/2023,8/21/2023,No
2823,8,Negative,Average,Strong Mismatch,Fully Remote,5/11/2023,6/1/2023,No
2824,10,Neutral,Excellent,Fit,Fully Remote,6/22/2023,7/10/2023,No
2825,1,Negative,Average,Strong Mismatch,Field Work,3/1/2023,3/16/2023,No
2826,3,Neutral,Excellent,Fit,Flexible,1/5/2023,1/26/2023,No
2827,1,Neutral,Excellent,Fit,Fully Remote,5/11/2023,5/27/2023,No
2828,6,Neutral,Good,Strong Fit,Flexible,2/16/2023,3/3/2023,No
2829,7,Positive,Below Average,Fit,In-Office,1/4/2023,1/23/2023,No
2830,7,Positive,Excellent,Neutral,Fully Remote,7/19/2023,8/10/2023,No
2831,7,Positive,Below Average,Slight Mismatch,Field Work,8/9/2023,8/29/2023,No
2832,9,Positive,Average,Neutral,Field Work,8/2/2023,8/24/2023,No
2833,1,Negative,Good,Neutral,Fully Remote,7/20/2023,8/4/2023,No
2834,6,Neutral,Below Average,Strong Fit,Hybrid,3/9/2023,3/28/2023,No
2835,10,Negative,Poor,Slight Mismatch,Flexible,6/14/2023,7/6/2023,No
2836,1,Positive,Poor,Fit,In-Office,5/31/2023,6/21/2023,No
2837,7,Positive,Excellent,Strong Fit,Hybrid,5/17/2023,6/2/2023,No
2838,7,Negative,Excellent,Slight Mismatch,Hybrid,7/19/2023,8/8/2023,No
2839,6,Neutral,Good,Strong Mismatch,Hybrid,7/26/2023,8/14/2023,No
2840,3,Negative,Good,Strong Mismatch,In-Office,7/20/2023,8/11/2023,No
2841,1,Negative,Excellent,Slight Mismatch,Hybrid,3/16/2023,4/7/2023,No
2842,7,Positive,Good,Strong Mismatch,Fully Remote,6/1/2023,6/17/2023,No
2843,5,Neutral,Average,Neutral,Hybrid,7/19/2023,8/8/2023,No
2844,5,Neutral,Poor,Strong Mismatch,In-Office,5/4/2023,5/23/2023,No
2845,1,Neutral,Excellent,Neutral,Fully Remote,8/31/2023,9/19/2023,No
2846,6,Neutral,Poor,Neutral,In-Office,4/27/2023,5/12/2023,No
2847,7,Neutral,Poor,Neutral,Flexible,8/2/2023,8/22/2023,No
2848,1,Neutral,Average,Fit,In-Office,5/11/2023,6/2/2023,No
2849,7,Positive,Poor,Slight Mismatch,Flexible,6/14/2023,7/2/2023,No
2850,5,Neutral,Average,Strong Fit,Flexible,1/26/2023,2/12/2023,No
2851,9,Neutral,Poor,Strong Fit,Fully Remote,5/3/2023,5/21/2023,No
2852,9,Positive,Good,Strong Mismatch,Hybrid,7/12/2023,8/2/2023,Yes
2853,3,Neutral,Good,Fit,Field Work,5/18/2023,6/9/2023,No
2854,4,Neutral,Poor,Strong Fit,Flexible,1/19/2023,2/7/2023,No
2855,9,Positive,Excellent,Strong Fit,Hybrid,3/30/2023,4/21/2023,No
2856,3,Negative,Excellent,Strong Mismatch,Fully Remote,6/29/2023,7/18/2023,No
2857,1,Neutral,Below Average,Neutral,Field Work,5/31/2023,6/15/2023,No
2858,1,Negative,Below Average,Fit,Flexible,1/12/2023,1/31/2023,No
2859,7,Negative,Excellent,Neutral,In-Office,2/8/2023,3/2/2023,No
2860,6,Positive,Good,Slight Mismatch,Hybrid,3/9/2023,3/28/2023,No
2861,7,Positive,Excellent,Strong Fit,Fully Remote,3/23/2023,4/10/2023,No
2862,7,Positive,Poor,Neutral,Flexible,1/12/2023,2/2/2023,No
2863,10,Positive,Average,Strong Fit,Fully Remote,1/12/2023,1/31/2023,No
2864,8,Negative,Poor,Neutral,Flexible,8/10/2023,8/31/2023,No
2865,6,Neutral,Good,Slight Mismatch,Field Work,1/4/2023,1/26/2023,No
2866,3,Neutral,Below Average,Slight Mismatch,In-Office,2/22/2023,3/10/2023,No
2867,1,Positive,Average,Neutral,Field Work,2/8/2023,2/25/2023,No
2868,5,Negative,Good,Strong Fit,Flexible,7/19/2023,8/5/2023,No
2869,9,Positive,Below Average,Fit,Fully Remote,4/26/2023,5/18/2023,Yes
2870,10,Neutral,Below Average,Slight Mismatch,Flexible,2/15/2023,3/6/2023,No
2871,2,Neutral,Below Average,Slight Mismatch,In-Office,1/4/2023,1/26/2023,No
2872,3,Negative,Below Average,Fit,Field Work,8/9/2023,8/25/2023,No
2873,10,Negative,Excellent,Strong Fit,Fully Remote,8/10/2023,8/28/2023,No
2874,8,Negative,Average,Strong Mismatch,Field Work,5/3/2023,5/24/2023,No
2875,10,Positive,Average,Fit,Field Work,3/9/2023,3/31/2023,No
2876,4,Positive,Below Average,Strong Fit,Hybrid,1/5/2023,1/23/2023,No
2877,3,Negative,Below Average,Strong Fit,Flexible,8/24/2023,9/8/2023,No
2878,10,Negative,Good,Fit,Hybrid,7/6/2023,7/23/2023,No
2879,5,Positive,Good,Neutral,In-Office,8/30/2023,9/14/2023,No
2880,1,Neutral,Average,Strong Mismatch,In-Office,8/10/2023,8/29/2023,No
2881,5,Positive,Good,Neutral,Field Work,8/9/2023,8/31/2023,No
2882,4,Neutral,Excellent,Strong Mismatch,Flexible,5/3/2023,5/20/2023,No
2883,8,Positive,Good,Slight Mismatch,Hybrid,4/27/2023,5/18/2023,No
2884,4,Positive,Average,Slight Mismatch,Field Work,3/30/2023,4/21/2023,No
2885,5,Negative,Good,Fit,In-Office,5/25/2023,6/13/2023,No
2886,1,Positive,Below Average,Strong Fit,Fully Remote,8/9/2023,8/27/2023,No
2887,4,Negative,Poor,Neutral,Field Work,7/19/2023,8/9/2023,No
2888,1,Neutral,Excellent,Fit,Hybrid,1/18/2023,2/6/2023,No
2889,5,Positive,Below Average,Slight Mismatch,Fully Remote,6/28/2023,7/20/2023,No
2890,1,Negative,Excellent,Fit,Fully Remote,3/16/2023,4/2/2023,No
2891,3,Positive,Below Average,Strong Fit,Hybrid,1/12/2023,1/30/2023,No
2892,6,Negative,Good,Strong Fit,Flexible,2/22/2023,3/15/2023,No
2893,6,Positive,Below Average,Fit,In-Office,1/11/2023,1/30/2023,No
2894,10,Positive,Excellent,Strong Mismatch,In-Office,5/31/2023,6/19/2023,Yes
2895,2,Positive,Excellent,Fit,Field Work,5/18/2023,6/9/2023,No
2896,7,Neutral,Good,Neutral,In-Office,4/27/2023,5/19/2023,No
2897,3,Positive,Poor,Fit,Hybrid,6/22/2023,7/14/2023,No
2898,4,Neutral,Good,Strong Fit,Flexible,3/8/2023,3/25/2023,No
2899,10,Positive,Average,Strong Fit,Fully Remote,6/8/2023,6/25/2023,No
2900,1,Neutral,Good,Strong Mismatch,Hybrid,5/25/2023,6/14/2023,No
2901,6,Neutral,Good,Neutral,In-Office,1/11/2023,2/1/2023,No
2902,9,Positive,Average,Strong Fit,Field Work,1/5/2023,1/24/2023,No
2903,2,Neutral,Average,Neutral,Hybrid,5/11/2023,5/31/2023,No
2904,5,Positive,Poor,Strong Fit,Field Work,4/20/2023,5/12/2023,No
2905,5,Neutral,Excellent,Neutral,In-Office,7/5/2023,7/23/2023,No
2906,9,Negative,Excellent,Strong Fit,Hybrid,3/2/2023,3/19/2023,Yes
2907,10,Neutral,Below Average,Slight Mismatch,Fully Remote,4/13/2023,5/1/2023,No
2908,6,Neutral,Poor,Strong Fit,Fully Remote,1/25/2023,2/15/2023,No
2909,9,Neutral,Below Average,Slight Mismatch,In-Office,2/15/2023,3/5/2023,No
2910,3,Negative,Average,Fit,Fully Remote,2/2/2023,2/20/2023,No
2911,2,Negative,Excellent,Strong Mismatch,Field Work,2/23/2023,3/15/2023,No
2912,1,Neutral,Poor,Strong Fit,Field Work,7/5/2023,7/23/2023,No
2913,1,Neutral,Good,Fit,Hybrid,1/4/2023,1/23/2023,No
2914,10,Neutral,Below Average,Strong Fit,Fully Remote,7/19/2023,8/4/2023,No
2915,1,Negative,Excellent,Slight Mismatch,In-Office,1/25/2023,2/9/2023,No
2916,1,Neutral,Poor,Strong Mismatch,Flexible,5/3/2023,5/23/2023,No
2917,9,Negative,Average,Strong Mismatch,Field Work,8/16/2023,9/1/2023,Yes
2918,6,Positive,Below Average,Strong Mismatch,In-Office,7/27/2023,8/11/2023,No
2919,4,Positive,Average,Strong Mismatch,Field Work,7/27/2023,8/12/2023,No
2920,5,Negative,Below Average,Strong Fit,In-Office,3/29/2023,4/18/2023,Yes
2921,2,Negative,Poor,Neutral,Field Work,7/20/2023,8/4/2023,No
2922,9,Positive,Average,Slight Mismatch,Flexible,7/6/2023,7/22/2023,No
2923,6,Neutral,Poor,Strong Fit,Field Work,1/5/2023,1/23/2023,No
2924,9,Negative,Poor,Slight Mismatch,Fully Remote,4/27/2023,5/14/2023,No
2925,8,Neutral,Good,Strong Mismatch,Field Work,5/10/2023,6/1/2023,No
2926,1,Neutral,Below Average,Slight Mismatch,Fully Remote,8/30/2023,9/20/2023,No
2927,6,Neutral,Average,Strong Fit,Hybrid,4/27/2023,5/17/2023,No
2928,9,Neutral,Good,Strong Fit,Hybrid,8/3/2023,8/19/2023,Yes
2929,5,Positive,Below Average,Strong Fit,Fully Remote,5/4/2023,5/20/2023,No
2930,3,Neutral,Poor,Strong Mismatch,Fully Remote,6/15/2023,7/6/2023,No
2931,4,Neutral,Below Average,Strong Mismatch,Fully Remote,7/27/2023,8/18/2023,No
2932,5,Neutral,Good,Neutral,Field Work,3/8/2023,3/24/2023,No
2933,10,Neutral,Poor,Fit,Hybrid,3/9/2023,3/28/2023,Yes
2934,5,Positive,Below Average,Neutral,In-Office,2/22/2023,3/14/2023,No
2935,6,Positive,Excellent,Slight Mismatch,Hybrid,2/8/2023,3/2/2023,No
2936,10,Negative,Poor,Strong Mismatch,Hybrid,6/22/2023,7/7/2023,Yes
2937,5,Positive,Good,Fit,Field Work,6/21/2023,7/12/2023,No
2938,7,Positive,Excellent,Slight Mismatch,Flexible,8/23/2023,9/13/2023,No
2939,1,Neutral,Good,Strong Fit,Field Work,3/23/2023,4/9/2023,No
2940,4,Negative,Excellent,Neutral,Field Work,8/3/2023,8/19/2023,No
2941,7,Negative,Below Average,Strong Mismatch,Hybrid,8/24/2023,9/13/2023,No
2942,9,Neutral,Good,Strong Fit,Fully Remote,4/26/2023,5/16/2023,No
2943,6,Positive,Good,Strong Mismatch,Field Work,2/15/2023,3/7/2023,No
2944,3,Positive,Poor,Slight Mismatch,In-Office,6/21/2023,7/12/2023,No
2945,4,Neutral,Below Average,Strong Fit,In-Office,7/5/2023,7/20/2023,No
2946,2,Neutral,Good,Fit,Fully Remote,7/26/2023,8/11/2023,No
2947,8,Positive,Below Average,Strong Fit,In-Office,8/31/2023,9/19/2023,No
2948,4,Positive,Poor,Slight Mismatch,Flexible,1/25/2023,2/9/2023,No
2949,9,Neutral,Excellent,Slight Mismatch,Field Work,5/17/2023,6/8/2023,Yes
2950,8,Negative,Poor,Strong Fit,Fully Remote,7/27/2023,8/18/2023,Yes
2951,10,Positive,Excellent,Strong Mismatch,Hybrid,8/9/2023,8/30/2023,Yes
2952,1,Positive,Average,Fit,In-Office,7/27/2023,8/15/2023,No
2953,2,Neutral,Average,Slight Mismatch,Fully Remote,7/6/2023,7/25/2023,No
2954,4,Positive,Below Average,Strong Fit,Flexible,3/15/2023,4/4/2023,No
2955,9,Neutral,Below Average,Slight Mismatch,Flexible,6/14/2023,7/5/2023,No
2956,3,Neutral,Below Average,Fit,Field Work,1/18/2023,2/8/2023,No
2957,1,Positive,Good,Slight Mismatch,In-Office,6/15/2023,7/3/2023,No
2958,2,Positive,Excellent,Slight Mismatch,Flexible,4/26/2023,5/14/2023,No
2959,9,Neutral,Excellent,Neutral,Fully Remote,2/2/2023,2/23/2023,No
2960,10,Negative,Below Average,Strong Fit,Field Work,2/22/2023,3/11/2023,No
2961,1,Negative,Good,Fit,Field Work,6/28/2023,7/18/2023,No
2962,8,Negative,Below Average,Strong Mismatch,Field Work,3/15/2023,3/31/2023,No
2963,1,Positive,Below Average,Slight Mismatch,Fully Remote,1/12/2023,1/27/2023,No
2964,10,Negative,Poor,Neutral,Field Work,6/14/2023,7/5/2023,Yes
2965,6,Negative,Good,Slight Mismatch,Flexible,3/2/2023,3/18/2023,No
2966,9,Neutral,Average,Strong Mismatch,Hybrid,7/26/2023,8/16/2023,No
2967,5,Neutral,Poor,Fit,Field Work,2/1/2023,2/18/2023,No
2968,5,Neutral,Average,Strong Fit,Field Work,7/5/2023,7/23/2023,No
2969,7,Positive,Excellent,Slight Mismatch,Hybrid,4/26/2023,5/18/2023,No
2970,2,Negative,Average,Slight Mismatch,Flexible,1/26/2023,2/17/2023,No
2971,2,Neutral,Good,Strong Mismatch,Field Work,5/3/2023,5/23/2023,No
2972,5,Neutral,Good,Neutral,In-Office,4/6/2023,4/26/2023,No
2973,1,Neutral,Poor,Strong Mismatch,Fully Remote,3/23/2023,4/12/2023,No
2974,2,Negative,Average,Strong Fit,Flexible,7/6/2023,7/27/2023,No
2975,10,Neutral,Excellent,Slight Mismatch,Hybrid,5/10/2023,6/1/2023,No
2976,2,Positive,Below Average,Strong Mismatch,In-Office,1/12/2023,2/1/2023,No
2977,8,Negative,Average,Strong Fit,Field Work,2/23/2023,3/11/2023,No
2978,9,Negative,Below Average,Strong Mismatch,Flexible,4/13/2023,4/28/2023,Yes
2979,3,Negative,Poor,Strong Mismatch,In-Office,1/12/2023,1/30/2023,No
2980,8,Neutral,Good,Neutral,Flexible,2/2/2023,2/23/2023,No
2981,2,Positive,Excellent,Neutral,In-Office,3/29/2023,4/16/2023,No
2982,1,Neutral,Good,Fit,Fully Remote,3/8/2023,3/24/2023,No
2983,3,Neutral,Good,Strong Mismatch,In-Office,7/5/2023,7/26/2023,No
2984,5,Positive,Good,Fit,Fully Remote,3/23/2023,4/10/2023,No
2985,8,Negative,Poor,Fit,Hybrid,7/19/2023,8/5/2023,Yes
2986,1,Positive,Poor,Strong Mismatch,Fully Remote,3/8/2023,3/24/2023,No
2987,4,Neutral,Below Average,Fit,Flexible,5/18/2023,6/7/2023,No
2988,6,Neutral,Excellent,Fit,Flexible,6/22/2023,7/10/2023,No
2989,2,Neutral,Below Average,Strong Fit,Flexible,2/16/2023,3/4/2023,No
2990,10,Positive,Poor,Neutral,In-Office,6/22/2023,7/11/2023,No
2991,1,Positive,Poor,Slight Mismatch,Field Work,5/25/2023,6/13/2023,No
2992,2,Positive,Below Average,Neutral,Field Work,2/9/2023,2/27/2023,No
2993,4,Positive,Excellent,Strong Mismatch,Flexible,6/14/2023,7/5/2023,No
2994,7,Positive,Good,Slight Mismatch,Fully Remote,6/1/2023,6/18/2023,No
2995,2,Positive,Average,Neutral,Hybrid,1/19/2023,2/6/2023,No
2996,9,Neutral,Average,Strong Mismatch,In-Office,1/5/2023,1/21/2023,No
2997,8,Neutral,Below Average,Strong Mismatch,In-Office,6/22/2023,7/7/2023,No
2998,9,Positive,Good,Neutral,Fully Remote,3/2/2023,3/19/2023,Yes
2999,10,Positive,Average,Fit,Fully Remote,7/6/2023,7/22/2023,No
3000,4,Negative,Good,Strong Fit,Hybrid,4/12/2023,5/1/2023,No
3001,9,Neutral,Below Average,Fit,Hybrid,2/8/2023,2/26/2023,Yes
3002,3,Negative,Good,Neutral,Field Work,4/20/2023,5/12/2023,No
3003,10,Positive,Good,Neutral,Field Work,3/30/2023,4/21/2023,No
3004,4,Positive,Below Average,Neutral,In-Office,7/19/2023,8/7/2023,No
3005,9,Negative,Good,Slight Mismatch,Field Work,7/6/2023,7/21/2023,No
3006,4,Neutral,Poor,Neutral,Fully Remote,3/2/2023,3/21/2023,No
3007,9,Negative,Excellent,Strong Fit,Field Work,5/11/2023,5/30/2023,No
3008,5,Neutral,Average,Fit,Flexible,3/9/2023,3/30/2023,No
3009,6,Neutral,Below Average,Fit,Field Work,6/8/2023,6/26/2023,No
3010,8,Negative,Excellent,Strong Fit,Fully Remote,1/19/2023,2/8/2023,No
3011,1,Neutral,Poor,Slight Mismatch,Fully Remote,8/23/2023,9/13/2023,No
3012,5,Negative,Excellent,Slight Mismatch,Hybrid,1/5/2023,1/22/2023,No
3013,2,Positive,Poor,Neutral,Hybrid,1/26/2023,2/14/2023,No
3014,1,Positive,Excellent,Fit,Field Work,4/19/2023,5/10/2023,No
3015,2,Positive,Poor,Slight Mismatch,Hybrid,6/29/2023,7/18/2023,No
3016,5,Neutral,Good,Fit,Fully Remote,3/29/2023,4/20/2023,No
3017,7,Negative,Poor,Strong Fit,Hybrid,4/6/2023,4/24/2023,No
3018,2,Positive,Poor,Fit,Field Work,6/22/2023,7/13/2023,No
3019,5,Negative,Below Average,Slight Mismatch,Hybrid,1/4/2023,1/26/2023,No
3020,8,Neutral,Poor,Slight Mismatch,In-Office,4/19/2023,5/8/2023,No
3021,4,Negative,Good,Neutral,Flexible,8/3/2023,8/20/2023,No
3022,8,Negative,Poor,Neutral,Flexible,1/19/2023,2/8/2023,No
3023,9,Neutral,Excellent,Slight Mismatch,Flexible,7/13/2023,7/31/2023,No
3024,5,Negative,Below Average,Strong Fit,In-Office,3/9/2023,3/26/2023,No
3025,1,Positive,Poor,Slight Mismatch,Hybrid,6/22/2023,7/10/2023,No
3026,2,Neutral,Excellent,Slight Mismatch,Hybrid,7/5/2023,7/20/2023,No
3027,7,Neutral,Average,Slight Mismatch,Flexible,1/18/2023,2/8/2023,No
3028,5,Neutral,Excellent,Fit,Fully Remote,2/1/2023,2/17/2023,No
3029,1,Neutral,Average,Fit,Hybrid,6/8/2023,6/30/2023,No
3030,3,Positive,Poor,Strong Fit,Fully Remote,7/26/2023,8/10/2023,No
3031,4,Positive,Average,Strong Fit,Fully Remote,2/2/2023,2/19/2023,No
3032,7,Neutral,Excellent,Fit,In-Office,8/3/2023,8/19/2023,No
3033,4,Neutral,Poor,Strong Fit,Field Work,3/1/2023,3/17/2023,No
3034,2,Neutral,Poor,Fit,Fully Remote,8/2/2023,8/20/2023,No
3035,1,Positive,Excellent,Strong Fit,Hybrid,6/21/2023,7/8/2023,No
3036,6,Positive,Below Average,Neutral,Fully Remote,4/20/2023,5/8/2023,No
3037,8,Neutral,Poor,Slight Mismatch,Flexible,5/11/2023,5/27/2023,No
3038,9,Neutral,Poor,Fit,Fully Remote,5/3/2023,5/24/2023,No
3039,9,Negative,Good,Neutral,Fully Remote,1/12/2023,1/30/2023,No
3040,4,Neutral,Poor,Neutral,Field Work,5/17/2023,6/8/2023,No
3041,4,Negative,Below Average,Strong Mismatch,Hybrid,1/12/2023,2/3/2023,No
3042,5,Negative,Poor,Slight Mismatch,Hybrid,3/22/2023,4/12/2023,No
3043,7,Positive,Average,Strong Mismatch,Flexible,6/7/2023,6/22/2023,No
3044,4,Neutral,Below Average,Fit,Fully Remote,5/18/2023,6/5/2023,No
3045,10,Positive,Poor,Fit,Flexible,7/26/2023,8/17/2023,No
3046,6,Positive,Excellent,Slight Mismatch,Flexible,6/8/2023,6/30/2023,No
3047,9,Neutral,Excellent,Slight Mismatch,Fully Remote,5/10/2023,5/25/2023,No
3048,10,Negative,Poor,Fit,Fully Remote,1/4/2023,1/20/2023,No
3049,1,Negative,Poor,Neutral,Flexible,1/4/2023,1/19/2023,No
3050,9,Negative,Average,Slight Mismatch,Fully Remote,6/15/2023,7/2/2023,No
3051,3,Neutral,Average,Neutral,Hybrid,1/5/2023,1/22/2023,No
3052,2,Negative,Good,Slight Mismatch,Field Work,7/20/2023,8/9/2023,No
3053,9,Positive,Average,Strong Mismatch,Flexible,5/17/2023,6/1/2023,No
3054,3,Neutral,Excellent,Slight Mismatch,In-Office,8/16/2023,9/2/2023,No
3055,8,Negative,Good,Fit,Fully Remote,2/16/2023,3/4/2023,No
3056,2,Neutral,Good,Strong Mismatch,Fully Remote,7/12/2023,7/30/2023,No
3057,5,Neutral,Good,Slight Mismatch,Field Work,7/27/2023,8/12/2023,No
3058,7,Neutral,Average,Fit,Flexible,6/7/2023,6/27/2023,No
3059,3,Neutral,Good,Neutral,Fully Remote,8/23/2023,9/9/2023,No
3060,8,Positive,Good,Fit,Hybrid,4/5/2023,4/27/2023,No
3061,8,Negative,Poor,Strong Mismatch,Flexible,3/23/2023,4/7/2023,No
3062,9,Positive,Poor,Strong Fit,Field Work,3/1/2023,3/18/2023,Yes
3063,10,Positive,Below Average,Strong Fit,Flexible,3/8/2023,3/29/2023,No
3064,10,Negative,Poor,Strong Fit,In-Office,3/29/2023,4/13/2023,Yes
3065,6,Positive,Below Average,Fit,Flexible,3/9/2023,3/24/2023,No
3066,1,Positive,Average,Strong Mismatch,Field Work,6/29/2023,7/15/2023,No
3067,7,Neutral,Poor,Neutral,Fully Remote,5/3/2023,5/20/2023,No
3068,7,Neutral,Good,Fit,Hybrid,2/8/2023,2/25/2023,No
3069,3,Positive,Below Average,Strong Fit,In-Office,1/12/2023,1/28/2023,No
3070,3,Neutral,Excellent,Slight Mismatch,Field Work,7/27/2023,8/11/2023,No
3071,5,Positive,Poor,Fit,Fully Remote,7/20/2023,8/11/2023,No
3072,4,Neutral,Good,Strong Mismatch,In-Office,6/8/2023,6/27/2023,No
3073,10,Neutral,Excellent,Slight Mismatch,Hybrid,3/16/2023,4/6/2023,No
3074,10,Negative,Below Average,Neutral,Fully Remote,5/4/2023,5/20/2023,Yes
3075,6,Neutral,Average,Strong Mismatch,Field Work,8/23/2023,9/12/2023,No
3076,5,Positive,Good,Strong Mismatch,Hybrid,8/10/2023,8/29/2023,No
3077,9,Negative,Average,Fit,Field Work,2/8/2023,2/28/2023,Yes
3078,1,Positive,Poor,Fit,Field Work,4/6/2023,4/24/2023,No
3079,10,Neutral,Below Average,Strong Fit,Flexible,7/5/2023,7/25/2023,No
3080,3,Negative,Good,Strong Mismatch,Hybrid,4/27/2023,5/12/2023,No
3081,10,Neutral,Poor,Strong Mismatch,In-Office,7/5/2023,7/26/2023,No
3082,7,Neutral,Good,Strong Mismatch,Fully Remote,8/31/2023,9/22/2023,No
3083,8,Positive,Good,Slight Mismatch,Fully Remote,7/6/2023,7/27/2023,No
3084,5,Negative,Average,Fit,Field Work,2/15/2023,3/5/2023,No
